Date,Screen_Time,Total_Calories
2025-11-01,470,2400
2025-11-02,495,2600
2025-11-03,520,2750
2025-11-04,485,2450
2025-11-05,560,2900
2025-11-06,580,3100
2025-11-07,600,3300
2025-11-08,585,3200
2025-11-09,575,3100
2025-11-10,590,3250
2025-11-11,605,3350
2025-11-12,580,3400
2025-11-13,565,3100
2025-11-14,600,3300
2025-11-15,610,3450
2025-11-16,570,3000
2025-11-17,590,3150
2025-11-18,605,3400
2025-11-19,575,2950
2025-11-20,590,3050
2025-11-21,600,3200
2025-11-22,610,3350
2025-11-23,480,2500
2025-11-24,495,2650
2025-11-25,510,2800
2025-11-26,530,2950
